Name,Country-Name,Age,Batting-style,Matches,Innings,Not-outs,Runs,Highest-score,Average,Balls-faced,Strike-Rate,100s,50s,4s,6s,Catches-taken,Stumpings-made
Sean Abbott,Australia,27,Right-hand bat,79,49,10,399,39,10.23,374,106.68,0,0,24,15,43,0
Ashton Agar,Australia,26,Left-hand bat,80,56,17,768,68,19.69,647,118.70,0,1,55,29,41,0
Jason Behrendorff,Australia,29,Right-hand bat,63,13,8,76,26,15.20,71,107.04,0,0,6,1,22,0
Alex Carey,Australia,28,Left-hand bat,59,46,8,1182,100,31.10,885,133.55,1,7,119,34,42,12
Pat Cummins,Australia,26,Right-hand bat,77,39,17,310,39,14.09,250,124.00,0,0,18,14,17,0
Aaron Finch,Australia,32,Right-hand bat,271,266,30,8388,172,35.54,5828,143.92,7,55,815,352,118,0
Marcus Harris,Australia,27,Left-hand bat,39,38,1,851,85,23.00,679,125.33,0,4,96,23,15,0
Josh Hazlewood,Australia,28,Left-hand bat,30,5,3,11,6*,5.50,23,47.82,0,0,0,0,5,0
Usman Khawaja,Australia,32,Left-hand bat,66,65,5,1906,109*,31.76,1493,127.66,2,9,232,32,20,0
Marnus Labuschagne,Australia,25,Right-hand bat,7,6,0,42,20,7.00,50,84.00,0,0,3,0,4,0
Ben McDermott,Australia,24,Right-hand bat,45,42,10,993,114,31.03,766,129.63,1,3,60,43,19,0
Mitchell Marsh,Australia,28,Right-hand bat,74,67,18,1487,77*,30.34,1233,120.60,0,7,90,66,33,0
Tim Paine,Australia,34,Right-hand bat,80,74,3,1637,91,23.05,1335,122.62,0,10,161,44,56,15
James Pattinson,Australia,29,Left-hand bat,33,16,6,52,13,5.20,68,76.47,0,0,2,1,12,0
Peter Siddle,Australia,34,Right-hand bat,46,14,9,31,9*,6.20,37,83.78,0,0,2,1,9,0
Steven Smith,Australia,30,Right-hand bat,181,158,36,3790,101,31.06,3030,125.08,1,17,336,82,97,0
Mitchell Starc,Australia,29,Left-hand bat,90,28,13,124,29,8.26,142,87.32,0,0,11,0,28,0
Marcus Stoinis,Australia,30,Right-hand bat,97,84,23,1725,99,28.27,1378,125.18,0,7,141,48,26,0
Matthew Wade,Australia,31,Left-hand bat,115,98,18,2071,88,25.88,1596,129.76,0,13,155,69,62,8
David Warner,Australia,33,Left-hand bat,276,275,34,9042,135*,37.51,6352,142.34,8,73,887,354,131,0
Abu Hider,Bangladesh,23,Right-hand bat,53,20,13,132,22*,18.85,106,124.52,0,0,10,8,21,0
Abu Jayed,Bangladesh,26,Right-hand bat,46,13,9,25,10*,6.25,29,86.20,0,0,3,0,6,0
Al-Amin Hossain,Bangladesh,29,Right-hand bat,88,24,15,46,17,5.11,73,63.01,0,0,4,1,12,0
Aminul Islam,Bangladesh,20,Right-hand bat,5,4,3,46,34*,46.00,43,106.97,0,0,5,1,1,0
Ariful Haque,Bangladesh,26,Right-hand bat,67,56,16,860,59*,21.50,730,117.80,0,1,52,23,34,0
Ebadot Hossain,Bangladesh,25,Right-hand bat,5,-,-,-,-,-,-,-,-,-,-,-,1,0
Mahmudullah,Bangladesh,33,Right-hand bat,202,183,35,3619,64*,24.45,3048,118.73,0,12,279,117,90,0
Mashrafe Mortaza,Bangladesh,36,Right-hand bat,150,94,23,948,56*,13.35,734,129.15,0,1,64,56,31,0
Mohammad Mithun,Bangladesh,28,Right-hand bat,110,93,14,1741,80,22.03,1490,116.84,0,8,113,71,38,15
